Company Name,Employment Status,Experience Cat,job_category_id,Location,Min Experience,Bonus,Gratuity,Insurance,Mobile Bill,Provident Fund,job title,vacancy,Degree,In Dhaka,avg_salary,avg_age,Gender
Bovine Leather,full_time,entry,1,Hazaribagh,1,FALSE,FALSE,FALSE,TRUE,FALSE,Accountant,2,bachelors,FALSE,17500,26.5,1
Dekko Accessories Ltd.,full_time,senior,1,Dhanmondi,5,FALSE,FALSE,FALSE,FALSE,FALSE,Assistant Manager - Finance & Accounts,2,professional,FALSE,33750,32,3
Dekko Accessories Ltd.,full_time,senior,1,Dhanmondi,9,FALSE,FALSE,FALSE,FALSE,FALSE,Manager/ Sr. Manager - Financial Planning & Accounting Controlling,2,professional,FALSE,33750,38,3
Centre for Policy Dialogue (CPD),full_time,unknown,1,Dhaka,3,FALSE,FALSE,FALSE,FALSE,FALSE,"Programme Associate, Energy Finance",2,professional,TRUE,35000,30,3
DAK DIYE JAI,full_time,unknown,1,Pirojpur,3,FALSE,FALSE,FALSE,FALSE,FALSE,সহকারী ব্যবস্থাপক (নিরীক্ষা),2,other,FALSE,33750,32.5,3
Farid Group,full_time,mid,1,Cumilla,2,FALSE,FALSE,FALSE,TRUE,TRUE,Tax & Compliance Executive (or Accounts Officer Taxation),1,masters,TRUE,33750,31.5,1
Sky City Hotel Dhaka,full_time,mid,1,Malibagh,3,TRUE,FALSE,FALSE,TRUE,FALSE,Internal Audit Manager,2,professional,FALSE,33750,32.5,3
SATORI Ltd.,full_time,mid,1,Dhaka,3,FALSE,FALSE,FALSE,FALSE,FALSE,Sr. Executive - Finance & Accounts,2,professional,TRUE,36500,30,3
A Leading Group of Company,full_time,senior,1,GULSHAN 1,10,TRUE,FALSE,FALSE,TRUE,TRUE,"Manager, Internal Audit",1,professional,FALSE,33750,37.5,3
BAAS & Associates,full_time,entry,1,Mohammadpur,1,TRUE,FALSE,FALSE,FALSE,FALSE,Accountant,2,bachelors,FALSE,33750,32.5,1
Médecins Sans Frontières (MSF),full_time,unknown,1,Cox's Bazar Sadar,3,FALSE,FALSE,FALSE,FALSE,FALSE,Project Finance Manager (Flying),1,bachelors,FALSE,119500,30,3
Advanced Chemical Industries PLC (ACI),full_time,mid,1,Tejgaon,3,TRUE,TRUE,TRUE,TRUE,TRUE,"Sr. Planning Analyst / Assistant Manager, Planning",2,professional,FALSE,33750,32.5,3
A Leading Group of Industry,full_time,entry,1,Noakhali,1,FALSE,FALSE,FALSE,FALSE,FALSE,Executive- Credit Management,1,bachelors,FALSE,33750,30,1
Media Home Appliances,full_time,entry,1,Dhaka,1,FALSE,FALSE,FALSE,FALSE,FALSE,Accounts Officer,1,bachelors,TRUE,20000,27.5,1
R consultancy,full_time,mid,1,Uttara,3,TRUE,FALSE,FALSE,TRUE,FALSE,Sr. Executive (Accounts),5,other,FALSE,27500,35,2
Spectra International Limited,full_time,mid,1,DOHS Baridhara,2,TRUE,FALSE,TRUE,TRUE,FALSE,"Officer, Internal Audit",2,professional,FALSE,37500,30,2
Royal Educare Limited,full_time,entry,1,Sylhet Sadar,1,FALSE,FALSE,FALSE,FALSE,FALSE,Executive/Senior Executive- Finance and Accounts,1,other,FALSE,33750,30,3
Global Technology,full_time,mid,1,DOHS Mohakhali,2,TRUE,FALSE,FALSE,TRUE,FALSE,Assistant Manager (Accounts / Finance),1,masters,FALSE,33750,28.5,3
Tusuka Group,full_time,entry,1,Banani,1,FALSE,FALSE,FALSE,FALSE,FALSE,"Executive, Finance & Accounts",2,professional,FALSE,33750,27,3
"Research Initiatives, Bangladesh (RIB)",contract,senior,1,Dhaka,5,FALSE,FALSE,FALSE,FALSE,FALSE,Finance Officer,1,bachelors,TRUE,33750,30,3
Nadia Furniture Limited,full_time,senior,1,Dhaka,10,TRUE,FALSE,FALSE,TRUE,FALSE,Senior Manager - Accounts & Finance,1,professional,TRUE,33750,42.5,1
LCI Limited,full_time,senior,1,Dhaka,5,TRUE,FALSE,TRUE,FALSE,FALSE,Sr. Accountant (Factory),2,professional,TRUE,33750,35,1
Sajeeb Group,full_time,entry,1,Narayanganj,0,TRUE,FALSE,FALSE,TRUE,FALSE,Junior Executive / Executive - VAT,2,bachelors,FALSE,33750,27.5,1
MAKALOT BANGLADESH LTD.,full_time,senior,1,Gazipur,5,FALSE,FALSE,FALSE,FALSE,FALSE,Manager - Accounts,1,bachelors,FALSE,33750,30,3
Liberty Knitwear Ltd.,full_time,mid,1,Kaliakair,2,TRUE,FALSE,TRUE,TRUE,FALSE,Executive - Garments Production Audit,4,masters,FALSE,33750,31.5,1
Renown group of companies ltd,full_time,senior,1,GULSHAN 1,10,TRUE,TRUE,FALSE,TRUE,TRUE,Chief Financial Officer (CFO),1,professional,FALSE,33750,35,3
HABIB INDUSTRIES LIMITED,full_time,mid,1,Dhaka,2,TRUE,FALSE,FALSE,TRUE,FALSE,Officer,2,masters,TRUE,33750,29,2
Blue Planet Group,full_time,senior,1,Uttara,15,TRUE,FALSE,TRUE,TRUE,FALSE,Head of Internal Audit,1,professional,FALSE,33750,35.5,3
Golden Son Limited (GSL),full_time,unknown,1,Chattogram,3,FALSE,FALSE,FALSE,FALSE,FALSE,Personal Assistant (PA) to Chairman,1,masters,FALSE,33750,27,3
Ahmed Zaker & Co. (A Category CA Firm),full_time,entry,1,Dhaka,1,FALSE,FALSE,FALSE,FALSE,FALSE,Executive (Audit & Accounts),5,professional,TRUE,22500,30,3
Ahmed Zaker & Co. (A Category CA Firm),full_time,mid,1,Dhaka,2,FALSE,FALSE,FALSE,FALSE,FALSE,"Manager/Deputy Manager (Tax & Vat, Assurance & Risk Management)",3,professional,TRUE,45000,30,3
Ahmed Zaker & Co. (A Category CA Firm),full_time,senior,1,Dhaka,5,FALSE,FALSE,FALSE,FALSE,FALSE,Deputy Director (Audit)/ Senior Manager (Audit & Risk Management),2,professional,TRUE,115000,30,3
Anwar Landmark Limited (Real estate division of Anwar Group of Industries),full_time,entry,1,Dhaka,1,TRUE,FALSE,FALSE,TRUE,FALSE,Assistant Project Accountant - Inventory,2,other,TRUE,33750,30,1
Radisson Blu Dhaka Water Garden,full_time,mid,1,Dhaka,4,TRUE,FALSE,TRUE,TRUE,TRUE,Executive - Accounts Receivable,1,masters,TRUE,33750,31.5,3
National Development Engineers Ltd. (NDE),full_time,senior,1,Dhaka,10,TRUE,FALSE,FALSE,TRUE,FALSE,Manager - VAT,2,professional,TRUE,33750,35,3
National Development Engineers Ltd. (NDE),full_time,senior,1,Dhaka,10,TRUE,FALSE,FALSE,TRUE,FALSE,Manager - TAX,2,professional,TRUE,33750,30,3
National Development Engineers Ltd. (NDE),full_time,senior,1,Dhaka,12,TRUE,FALSE,FALSE,TRUE,FALSE,Sr. Manager/Manager - (Accounts for RMC),2,other,TRUE,33750,30,3
National Development Engineers Ltd. (NDE),full_time,senior,1,Dhaka,12,FALSE,FALSE,FALSE,FALSE,FALSE,AGM/Sr. Manager (General Accounts),2,professional,TRUE,33750,35,3
Salahuddin Associates SA,full_time,unknown,1,Dhaka,3,FALSE,FALSE,FALSE,FALSE,FALSE,Senior Executive-Cloud Accounting,2,bachelors,TRUE,33750,26,3
MEP Group,full_time,senior,1,Anywhere in Bangladesh,5,TRUE,FALSE,TRUE,TRUE,TRUE,Assistant Manager (Internal Audit),2,professional,FALSE,33750,32.5,1
Nazrul Group of Industries,full_time,mid,1,Narayanganj,2,TRUE,FALSE,FALSE,TRUE,FALSE,Accounts & VAT Officer,2,other,FALSE,33750,35,1
Society For Development Initiatives (SDI),full_time,unknown,1,Anywhere in Bangladesh,3,FALSE,FALSE,FALSE,FALSE,FALSE,ক্রেডিট অফিসার,200,other,FALSE,25000,30,3
Leading Manufacturing Industry under a Renowned Group of Companies,full_time,senior,1,Dhaka,10,FALSE,FALSE,FALSE,FALSE,FALSE,"Manager, Finance (for Manufacturing Industry)",2,masters,TRUE,33750,38.5,1
Resource Integration Centre (RIC),full_time,mid,1,Anywhere in Bangladesh,2,FALSE,FALSE,FALSE,FALSE,FALSE,শাখা হিসাবরক্ষন কর্মকর্তা,250,other,FALSE,33750,30,3
Canary Visa Consultancy,full_time,senior,1,Banani,15,TRUE,FALSE,FALSE,TRUE,FALSE,Admin/Accounts Manager,1,masters,FALSE,32500,45,1
A Reputed Real Estate Company,full_time,senior,1,Dhaka,12,TRUE,FALSE,FALSE,TRUE,FALSE,AGM/DGM - Accounts & Finance,1,other,TRUE,33750,30,3
Save the Children,contract,mid,1,Cox`s Bazar,3,FALSE,FALSE,FALSE,FALSE,FALSE,Officer- Finance,1,professional,FALSE,33750,30,3
Heifer International Bangladesh,full_time,senior,1,Dhaka,10,FALSE,FALSE,FALSE,FALSE,FALSE,Director of Finance and Administration,2,bachelors,TRUE,33750,30,3
Famous Hospital & Diagnostic Center Ltd.,full_time,senior,1,Jatrabari,5,FALSE,FALSE,FALSE,FALSE,FALSE,Executive -Accounts & Finance,1,masters,FALSE,25000,32.5,1
Walton Agro Farm and Industries (Sister Concern of WALTON),full_time,mid,1,Tangail Sadar,3,FALSE,FALSE,FALSE,FALSE,FALSE,Officer (Account and Inventory Management),1,bachelors,FALSE,35000,31,1
Crystal Agency,intern,unknown,1,Dhaka,3,FALSE,FALSE,FALSE,FALSE,FALSE,Intern (Finance & Accounts),1,bachelors,TRUE,6500,23,1
A well reputed Manufacturing company,full_time,senior,1,Dhaka,10,TRUE,FALSE,FALSE,TRUE,FALSE,Manager (Internal Audit),1,other,TRUE,33750,35,1
Giant Group,full_time,mid,1,Uttara,2,TRUE,FALSE,FALSE,TRUE,FALSE,Officer (Finance & Accounts),2,masters,FALSE,22500,28.5,3
Cox`s Bazar International University,full_time,senior,1,Cox`s Bazar,5,FALSE,FALSE,FALSE,FALSE,FALSE,Accounts and Audit Officer,2,professional,FALSE,33750,30,3
BRAC Bank PLC,full_time,senior,1,Dhaka,15,FALSE,FALSE,FALSE,FALSE,FALSE,Head of Audit,2,bachelors,TRUE,33750,30,3
Shohagh Group,full_time,entry,1,Dhaka,1,FALSE,FALSE,FALSE,FALSE,FALSE,Assistant Manager (Accounts),2,professional,TRUE,28000,32.5,1
Médecins Sans Frontières (MSF),full_time,unknown,1,Chattogram Sadar,3,FALSE,FALSE,FALSE,FALSE,FALSE,Finance Assistant,1,professional,FALSE,68000,30,3
BRAC,full_time,mid,1,Dhaka,3,TRUE,TRUE,TRUE,FALSE,TRUE,"Deputy Manager, MIS & Budget Analysis, BRAC Learning Center (BLC)",2,other,TRUE,33750,30,3
MediaSoft Data Systems Ltd.,full_time,entry,1,Dhaka,1,TRUE,FALSE,FALSE,TRUE,FALSE,"Executive, Accounts (VAT & Tax)",1,professional,TRUE,33750,30,3
RDRS Bangladesh,full_time,mid,1,Anywhere in Bangladesh,3,TRUE,TRUE,FALSE,TRUE,TRUE,Senior Officer (Internal Audit),1,masters,FALSE,38835,31,3
Shakti Foundation for Disadvantaged Women.,full_time,unknown,1,Anywhere in Bangladesh,3,TRUE,TRUE,FALSE,TRUE,TRUE,অ্যাকাউন্টেন্ট,100,bachelors,FALSE,22000,30.5,3
A well reputed Knit Composite Factory,full_time,mid,1,Banani,2,FALSE,FALSE,FALSE,FALSE,FALSE,Junior Account Executive,1,masters,FALSE,33750,26,2
A well reputed Knit Composite Factory,full_time,mid,1,Banani,2,FALSE,FALSE,FALSE,FALSE,FALSE,Junior Account Executive,1,masters,FALSE,33750,26,2
